Source_IP,Destination_IP,Protocol,Packet_Size
20.207.73.82,192.168.43.13,TCP,1366
192.168.43.13,20.207.73.82,TCP,54
20.207.73.82,192.168.43.13,TCP,1366
20.207.73.82,192.168.43.13,TCP,1366
192.168.43.13,20.207.73.82,TCP,54
192.168.43.13,8.8.8.8,UDP,70
192.168.43.13,8.8.8.8,UDP,70
192.168.43.13,8.8.8.8,UDP,70
20.207.73.82,192.168.43.13,TCP,1366
20.207.73.82,192.168.43.13,TCP,1366
192.168.43.13,20.207.73.82,TCP,54
20.207.73.82,192.168.43.13,TCP,1366
20.207.73.82,192.168.43.13,TCP,1366
20.207.73.82,192.168.43.13,TCP,1366
20.207.73.82,192.168.43.13,TCP,1366
192.168.43.13,20.207.73.82,TCP,54
20.207.73.82,192.168.43.13,TCP,1366
20.207.73.82,192.168.43.13,TCP,1366
192.168.43.13,20.207.73.82,TCP,54
20.207.73.82,192.168.43.13,TCP,1366
20.207.73.82,192.168.43.13,TCP,1366
192.168.43.13,20.207.73.82,TCP,54
20.207.73.82,192.168.43.13,TCP,1366
20.207.73.82,192.168.43.13,TCP,1366
192.168.43.13,20.207.73.82,TCP,54
20.207.73.82,192.168.43.13,TCP,1366
20.207.73.82,192.168.43.13,TCP,1366
192.168.43.13,20.207.73.82,TCP,54
20.207.73.82,192.168.43.13,TCP,1366
20.207.73.82,192.168.43.13,TCP,1366
192.168.43.13,20.207.73.82,TCP,54
20.207.73.82,192.168.43.13,TCP,1366
20.207.73.82,192.168.43.13,TCP,1366
192.168.43.13,20.207.73.82,TCP,54
20.207.73.82,192.168.43.13,TCP,1366
20.207.73.82,192.168.43.13,TCP,1366
192.168.43.13,20.207.73.82,TCP,54
20.207.73.82,192.168.43.13,TCP,1366
20.207.73.82,192.168.43.13,TCP,1366
192.168.43.13,20.207.73.82,TCP,54
20.207.73.82,192.168.43.13,TCP,1366
20.207.73.82,192.168.43.13,TCP,572
8.8.8.8,192.168.43.13,UDP,146
192.168.43.13,20.207.73.82,TCP,54
8.8.8.8,192.168.43.13,UDP,126
8.8.8.8,192.168.43.13,UDP,102
192.168.43.13,185.199.111.154,TCP,66
192.168.43.13,185.199.111.154,TCP,66
192.168.43.13,185.199.111.154,TCP,66
192.168.43.13,185.199.111.154,TCP,66
192.168.43.13,185.199.111.154,TCP,66
192.168.43.13,185.199.111.154,TCP,66
185.199.111.154,192.168.43.13,TCP,66
185.199.111.154,192.168.43.13,TCP,66
192.168.43.13,185.199.111.154,TCP,54
192.168.43.13,185.199.111.154,TCP,54
185.199.111.154,192.168.43.13,TCP,66
185.199.111.154,192.168.43.13,TCP,66
185.199.111.154,192.168.43.13,TCP,66
185.199.111.154,192.168.43.13,TCP,66
192.168.43.13,185.199.111.154,TCP,54
192.168.43.13,185.199.111.154,TCP,54
192.168.43.13,185.199.111.154,TCP,54
192.168.43.13,185.199.111.154,TCP,54
192.168.43.13,185.199.111.154,TCP,1386
192.168.43.13,185.199.111.154,TCP,551
192.168.43.13,185.199.111.154,TCP,1386
192.168.43.13,185.199.111.154,TCP,519
192.168.43.13,185.199.111.154,TCP,1386
192.168.43.13,185.199.111.154,TCP,455
192.168.43.13,185.199.111.154,TCP,1386
192.168.43.13,185.199.111.154,TCP,455
192.168.43.13,185.199.111.154,TCP,1386
192.168.43.13,185.199.111.154,TCP,551
192.168.43.13,185.199.111.154,TCP,1386
192.168.43.13,185.199.111.154,TCP,455
185.199.111.154,192.168.43.13,TCP,54
185.199.111.154,192.168.43.13,TCP,54
185.199.111.154,192.168.43.13,TCP,1366
185.199.111.154,192.168.43.13,TCP,1366
192.168.43.13,185.199.111.154,TCP,54
185.199.111.154,192.168.43.13,TCP,1366
185.199.111.154,192.168.43.13,TCP,1366
185.199.111.154,192.168.43.13,TCP,639
192.168.43.13,185.199.111.154,TCP,54
185.199.111.154,192.168.43.13,TCP,54
185.199.111.154,192.168.43.13,TCP,54
192.168.43.13,185.199.111.154,TCP,118
192.168.43.13,185.199.111.154,TCP,146
192.168.43.13,185.199.111.154,TCP,54
192.168.43.13,185.199.111.154,TCP,54
192.168.43.13,185.199.111.154,TCP,54
192.168.43.13,185.199.111.154,TCP,54
192.168.43.13,185.199.111.154,TCP,54
192.168.43.13,185.199.111.154,TCP,480
192.168.43.13,185.199.111.154,TCP,144
192.168.43.13,185.199.111.154,TCP,131
192.168.43.13,185.199.111.154,TCP,130
192.168.43.13,185.199.111.154,TCP,141
192.168.43.13,185.199.111.154,TCP,135
185.199.111.154,192.168.43.13,TCP,1366
192.168.43.13,185.199.111.154,TCP,54
185.199.111.154,192.168.43.13,TCP,1366
185.199.111.154,192.168.43.13,TCP,1366
185.199.111.154,192.168.43.13,TCP,1366
185.199.111.154,192.168.43.13,TCP,639
185.199.111.154,192.168.43.13,TCP,54
185.199.111.154,192.168.43.13,TCP,54
185.199.111.154,192.168.43.13,TCP,1366
185.199.111.154,192.168.43.13,TCP,1366
192.168.43.13,185.199.111.154,TCP,54
185.199.111.154,192.168.43.13,TCP,1366
185.199.111.154,192.168.43.13,TCP,1366
185.199.111.154,192.168.43.13,TCP,639
185.199.111.154,192.168.43.13,TCP,54
185.199.111.154,192.168.43.13,TCP,54
185.199.111.154,192.168.43.13,TCP,54
185.199.111.154,192.168.43.13,TCP,1366
185.199.111.154,192.168.43.13,TCP,1366
192.168.43.13,185.199.111.154,TCP,54
185.199.111.154,192.168.43.13,TCP,1366
185.199.111.154,192.168.43.13,TCP,1366
185.199.111.154,192.168.43.13,TCP,639
185.199.111.154,192.168.43.13,TCP,54
185.199.111.154,192.168.43.13,TCP,54
185.199.111.154,192.168.43.13,TCP,1366
185.199.111.154,192.168.43.13,TCP,1366
192.168.43.13,185.199.111.154,TCP,54
185.199.111.154,192.168.43.13,TCP,1366
185.199.111.154,192.168.43.13,TCP,1366
185.199.111.154,192.168.43.13,TCP,639
185.199.111.154,192.168.43.13,TCP,54
185.199.111.154,192.168.43.13,TCP,1366
192.168.43.13,185.199.111.154,TCP,54
185.199.111.154,192.168.43.13,TCP,1366
185.199.111.154,192.168.43.13,TCP,1366
185.199.111.154,192.168.43.13,TCP,1366
185.199.111.154,192.168.43.13,TCP,639
185.199.111.154,192.168.43.13,TCP,54
185.199.111.154,192.168.43.13,TCP,54
185.199.111.154,192.168.43.13,TCP,54
185.199.111.154,192.168.43.13,TCP,54
185.199.111.154,192.168.43.13,TCP,119
185.199.111.154,192.168.43.13,TCP,54
185.199.111.154,192.168.43.13,TCP,54
185.199.111.154,192.168.43.13,TCP,452
192.168.43.13,185.199.111.154,TCP,54
185.199.111.154,192.168.43.13,TCP,1366
185.199.111.154,192.168.43.13,TCP,1366
192.168.43.13,185.199.111.154,TCP,54
192.168.43.13,185.199.111.154,TCP,85
185.199.111.154,192.168.43.13,TCP,1366
185.199.111.154,192.168.43.13,TCP,1366
185.199.111.154,192.168.43.13,TCP,54
192.168.43.13,185.199.111.154,TCP,54
185.199.111.154,192.168.43.13,TCP,54
185.199.111.154,192.168.43.13,TCP,1366
185.199.111.154,192.168.43.13,TCP,1366
192.168.43.13,185.199.111.154,TCP,54
185.199.111.154,192.168.43.13,TCP,1366
185.199.111.154,192.168.43.13,TCP,1366
192.168.43.13,185.199.111.154,TCP,54
185.199.111.154,192.168.43.13,TCP,54
185.199.111.154,192.168.43.13,TCP,54
185.199.111.154,192.168.43.13,TCP,54
185.199.111.154,192.168.43.13,TCP,54
185.199.111.154,192.168.43.13,TCP,1366
185.199.111.154,192.168.43.13,TCP,1366
192.168.43.13,185.199.111.154,TCP,54
185.199.111.154,192.168.43.13,TCP,1366
185.199.111.154,192.168.43.13,TCP,1366
192.168.43.13,185.199.111.154,TCP,54
185.199.111.154,192.168.43.13,TCP,1366
185.199.111.154,192.168.43.13,TCP,1366
192.168.43.13,185.199.111.154,TCP,54
192.168.43.13,185.199.111.154,TCP,130
192.168.43.13,185.199.111.154,TCP,194
192.168.43.13,185.199.111.154,TCP,129
192.168.43.13,185.199.111.154,TCP,131
185.199.111.154,192.168.43.13,TCP,1366
185.199.111.154,192.168.43.13,TCP,1366
192.168.43.13,185.199.111.154,TCP,54
185.199.111.154,192.168.43.13,TCP,1366
185.199.111.154,192.168.43.13,TCP,1366
192.168.43.13,185.199.111.154,TCP,54
192.168.43.13,185.199.111.154,TCP,142
185.199.111.154,192.168.43.13,TCP,1366
185.199.111.154,192.168.43.13,TCP,1366
192.168.43.13,185.199.111.154,TCP,54
185.199.111.154,192.168.43.13,TCP,1366
185.199.111.154,192.168.43.13,TCP,1366
192.168.43.13,185.199.111.154,TCP,54
185.199.111.154,192.168.43.13,TCP,1366
185.199.111.154,192.168.43.13,TCP,1366
192.168.43.13,185.199.111.154,TCP,54
185.199.111.154,192.168.43.13,TCP,1366
185.199.111.154,192.168.43.13,TCP,1366
192.168.43.13,185.199.111.154,TCP,54
185.199.111.154,192.168.43.13,TCP,1366
185.199.111.154,192.168.43.13,TCP,1366
192.168.43.13,185.199.111.154,TCP,54
185.199.111.154,192.168.43.13,TCP,1366
185.199.111.154,192.168.43.13,TCP,1366
192.168.43.13,185.199.111.154,TCP,54
185.199.111.154,192.168.43.13,TCP,1366
185.199.111.154,192.168.43.13,TCP,1366
185.199.111.154,192.168.43.13,TCP,1366
185.199.111.154,192.168.43.13,TCP,1366
